,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,94.71%,94.72%,94.72%,94.72%,94.72%,94.72%,94.72%,94.72%,94.72%,94.72%,94.72%,94.72%
FIIs +,0.02%,0.05%,0.06%,0.22%,0.30%,0.40%,0.32%,0.45%,0.46%,0.46%,0.42%,0.46%
DIIs +,0.23%,0.15%,0.17%,0.16%,0.16%,0.24%,0.15%,0.15%,0.16%,0.17%,0.18%,0.18%
Government +,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,5.04%,5.08%,5.06%,4.90%,4.84%,4.62%,4.80%,4.67%,4.65%,4.64%,4.69%,4.63%
No. of Shareholders,"5,93,561","5,95,301","5,84,625","5,98,415","5,82,160","6,08,490","6,36,699","6,72,434","6,82,099","7,15,361","7,23,519","7,21,423"
