,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,094",637,701,785,964,"1,420","1,659","1,662","2,375","1,634","1,806"
Cash from Investing Activity +,-365,375,-458,-430,-612,-466,-614,"-1,294","-1,039",-879,"-1,921"
Cash from Financing Activity +,-563,"-1,224",-251,-273,-349,-502,"-1,318",-628,-678,-514,-474
Net Cash Flow,166,-212,-9,82,3,451,-273,-260,658,241,-589
