,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,64,64,64,64,64,64,64,64,64,64,64,64,64
Reserves,635,776,957,"1,157","1,260","1,410","1,678","1,830","1,694","1,750","1,374","1,463","1,405"
Borrowings +,0,0,0,0,0,0,0,"1,249","1,032","1,094","1,246","1,357","1,438"
Other Liabilities +,430,542,616,512,599,667,732,589,542,616,587,466,580
Total Liabilities,"1,130","1,382","1,637","1,733","1,923","2,141","2,474","3,732","3,332","3,525","3,272","3,350","3,487"
Fixed Assets +,243,248,309,304,268,296,317,"1,369","1,120","1,226","1,392","1,509","1,569"
CWIP,18,24,48,19,30,12,17,20,34,5,4,4,6
Investments,0,0,0,0,0,0,0,0,0,0,0,0,1
Other Assets +,868,"1,110","1,280","1,410","1,625","1,833","2,140","2,343","2,179","2,294","1,876","1,837","1,912"
Total Assets,"1,130","1,382","1,637","1,733","1,923","2,141","2,474","3,732","3,332","3,525","3,272","3,350","3,487"
