,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,163,72,183,146,76
Inventory Days,"1,378",,,,
Days Payable,748,,,,
Cash Conversion Cycle,793,72,183,146,76
Working Capital Days,-912,-860,-503,-277,-964
ROCE %,,17%,14%,12%,17%
