,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,93,-3,51,198,237,226,289
Cash from Investing Activity +,-39,-6,-28,-27,-85,-154,-441
Cash from Financing Activity +,-5,-8,-5,-16,-14,115,365
Net Cash Flow,49,-18,17,156,138,188,213
