,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,15,18,25,23,24,18,29,21,22,24,23
Inventory Days,2,3,4,4,4,2,3,,,,2
Days Payable,21,19,30,23,21,16,23,,,,20
Cash Conversion Cycle,-4,2,-1,4,7,4,8,21,22,24,4
Working Capital Days,-81,-85,-67,-55,-45,-38,-43,-23,-32,-34,-7
ROCE %,,12%,13%,17%,19%,29%,34%,31%,31%,20%,19%
