,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,24,24,25,25,25,25
Reserves,505,581,796,931,"1,193","1,358"
Borrowings +,54,87,160,170,166,231
Other Liabilities +,94,124,122,146,145,323
Total Liabilities,677,817,"1,102","1,271","1,530","1,937"
Fixed Assets +,407,423,511,661,812,989
CWIP,3,36,49,70,12,96
Investments,36,69,126,20,31,56
Other Assets +,230,290,416,520,674,796
Total Assets,677,817,"1,102","1,271","1,530","1,937"
