,Mar 2024,Mar 2025
Promoters +,62.76%,61.80%
FIIs +,4.16%,7.17%
DIIs +,9.37%,14.75%
Public +,23.70%,16.27%
No. of Shareholders,"1,45,858","1,46,892"
