,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"8,062","4,672","5,203","5,263","8,227","5,003","5,125","5,504","8,260","5,485","6,584","7,277","8,993"
Expenses +,"6,910","4,842","5,446","5,119","7,178","5,182","5,279","5,287","7,532","5,654","6,309","6,973","8,162"
Operating Profit,"1,152",-170,-244,144,"1,049",-178,-154,217,728,-169,275,304,832
OPM %,14%,-4%,-5%,3%,13%,-4%,-3%,4%,9%,-3%,4%,4%,9%
Other Income +,131,84,226,110,125,130,192,118,170,111,128,126,159
Interest,96,98,123,139,161,168,180,190,193,162,201,184,201
Depreciation,86,67,59,62,73,60,60,61,68,59,60,68,85
Profit before tax,"1,102",-251,-199,53,940,-276,-202,84,636,-279,141,179,704
Tax %,17%,-25%,-106%,20%,30%,-26%,-69%,29%,23%,-24%,25%,25%,28%
Net Profit +,912,-188,12,42,658,-205,-63,60,490,-211,106,135,504
EPS in Rs,2.62,-0.54,0.03,0.12,1.89,-0.59,-0.18,0.17,1.41,-0.61,0.30,0.39,1.45
Raw PDF,,,,,,,,,,,,,
