,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,"2,823","6,313","2,579","4,043","2,160","6,164","7,215",-618,"23,430","30,987","-5,290","2,911"
Cash from Investing Activity +,"-8,317","-7,488","-6,292","-4,805","-5,467","-6,480","-3,694","-4,261","-3,295","-3,976","-3,371","-4,261"
Cash from Financing Activity +,"3,009","1,017","3,775",743,"3,302",269,"-3,549","5,003","-19,808","-27,398","8,587","1,362"
Net Cash Flow,"-2,485",-158,63,-20,-5,-47,-28,125,328,-387,-74,12
