,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.99%,74.99%,74.95%,74.89%,74.68%,74.66%,74.66%,73.67%,69.26%
FIIs +,7.98%,6.04%,6.67%,7.49%,5.55%,5.36%,5.18%,8.37%,13.43%
DIIs +,10.69%,8.12%,8.35%,8.89%,7.17%,10.16%,10.06%,9.29%,10.94%
Public +,6.34%,10.85%,10.02%,8.70%,12.57%,9.55%,9.84%,8.45%,6.21%
Others +,0.00%,0.00%,0.01%,0.03%,0.03%,0.27%,0.25%,0.21%,0.14%
No. of Shareholders,"1,25,691","1,38,543","1,29,960","1,19,622","1,50,877","2,35,644","2,65,138","3,60,241","5,43,336"
