,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-102,-97,-83,-282,-364,29,"-1,568",-299,9,-183
Cash from Investing Activity +,-15,-244,-434,375,79,"-1,202","-2,125",46,301,458
Cash from Financing Activity +,119,315,513,-23,"1,031",759,"3,621",-42,-57,-73
Net Cash Flow,2,-27,-5,69,746,-415,-71,-295,253,202
