,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,645","1,412","2,122",902,"1,720","1,071","2,517","2,447","2,154","2,137","3,440","1,823"
Cash from Investing Activity +,-119,-796,"-2,226","-3,368","-3,891","-1,027","-2,817","-2,342","-1,172",-478,-711,-202
Cash from Financing Activity +,"-1,208",-684,-255,"1,895","2,321",-62,472,152,"-1,081","-1,692","-2,659","-1,647"
Net Cash Flow,319,-68,-358,-571,150,-18,173,257,-100,-34,70,-26
