,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,15,15,16,16,16,18,18,18,18,18,19
Reserves,288,352,446,589,762,"1,489","1,756","2,118","2,571","3,130","5,767"
Borrowings +,452,498,813,842,599,367,333,355,162,166,217
Other Liabilities +,588,599,622,773,"1,387","1,395",902,"1,036","1,019","1,342","1,232"
Total Liabilities,"1,345","1,464","1,896","2,220","2,764","3,269","3,008","3,527","3,770","4,656","7,235"
Fixed Assets +,298,328,405,407,489,554,537,531,567,770,993
CWIP,4,29,3,23,32,11,7,17,15,121,385
Investments,3,3,3,3,2,1,1,2,1,2,2
Other Assets +,"1,039","1,103","1,485","1,787","2,242","2,703","2,463","2,978","3,187","3,764","5,854"
Total Assets,"1,345","1,464","1,896","2,220","2,764","3,269","3,008","3,527","3,770","4,656","7,235"
