,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,369,267,"1,113",-39,401,294,699
Cash from Investing Activity +,-19,-3,-664,70,-440,400,-89
Cash from Financing Activity +,-221,-261,-44,-44,-347,-557,-486
Net Cash Flow,129,4,405,-13,-385,137,124
