,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,64.16%,64.16%,58.07%,58.07%,57.65%,45.82%,45.83%,45.70%,45.68%
FIIs +,11.26%,10.31%,10.04%,12.42%,16.86%,16.47%,15.54%,15.92%,16.14%
DIIs +,16.66%,16.73%,24.71%,23.77%,20.63%,20.65%,22.46%,23.37%,24.50%
Public +,7.91%,8.79%,7.18%,5.75%,4.86%,17.06%,16.17%,14.99%,13.68%
No. of Shareholders,"82,072","71,191","67,631","67,103","69,238","90,701","75,763","77,580","73,428"
