,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,84.10%,69.80%,62.80%,55.70%,55.48%,55.45%,55.42%,55.38%
FIIs +,4.44%,14.06%,25.87%,30.51%,24.15%,25.14%,25.16%,21.88%
DIIs +,4.41%,4.36%,5.74%,6.94%,12.46%,15.09%,15.40%,18.67%
Public +,7.05%,11.78%,5.59%,6.85%,7.91%,4.34%,4.01%,4.06%
No. of Shareholders,"3,88,613","3,25,560","3,21,095","4,01,475","4,08,081","3,74,674","3,35,114","3,63,505"
