,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-479,108,"-2,186","-1,432","-4,824","-4,970","-7,814","-1,596","-2,804","-13,754","-26,376"
Cash from Investing Activity +,21,-43,-177,-126,-162,-385,37,410,180,48,"-1,376"
Cash from Financing Activity +,249,"-1,102","3,027",824,"6,351","9,193","9,712","3,445",395,"11,958","29,893"
Net Cash Flow,-209,"-1,036",664,-734,"1,364","3,838","1,935","2,260","-2,229","-1,749","2,140"
