,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,140,140,140,140,140,140,140,140,140,140,280
Reserves,"1,975","2,430","2,872","3,507","4,176","5,218","6,194","7,446","7,791","9,493","10,336"
Borrowings +,145,0,0,0,0,96,113,108,83,81,93
Other Liabilities +,833,882,"1,186","1,453","1,871","2,094","2,606","3,413","4,614","4,510","4,872"
Total Liabilities,"3,093","3,452","4,198","5,100","6,187","7,548","9,054","11,107","12,628","14,225","15,581"
Fixed Assets +,"1,956","2,019","2,117","2,432","2,877","3,557","4,321","5,002","5,734","6,603","7,207"
CWIP,254,267,352,386,478,777,847,"1,379","1,434","1,396","1,527"
Investments,308,327,784,"1,316","1,778",630,"2,288","2,626","1,522","2,222","2,926"
Other Assets +,575,839,945,966,"1,054","2,584","1,598","2,101","3,939","4,003","3,921"
Total Assets,"3,093","3,452","4,198","5,100","6,187","7,548","9,054","11,107","12,628","14,225","15,581"
