,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,11,11,11,11,11,11,11,11
Reserves,"4,756","3,499","3,705","3,482","4,244","5,510","5,925","6,128"
Borrowings +,"2,000",968,"1,718","1,581","1,556","1,515","2,096","2,179"
Other Liabilities +,"2,986",441,634,895,"1,067","1,335","1,201","1,180"
Total Liabilities,"9,753","4,919","6,067","5,969","6,878","8,371","9,233","9,498"
Fixed Assets +,"3,813","2,305","2,414","2,367","2,514","3,111","4,264","4,491"
CWIP,724,229,318,400,680,"1,158","1,128","1,115"
Investments,524,342,259,88,20,1,1,1
Other Assets +,"4,691","2,042","3,076","3,114","3,665","4,101","3,840","3,891"
Total Assets,"9,753","4,919","6,067","5,969","6,878","8,371","9,233","9,498"
