,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,234,480,436,439,442,444,436,437,439,440,441,442
Reserves,"8,948","11,768","14,155","15,998","18,401","19,841","21,377","24,428","26,447","27,484","26,228","26,919"
Borrowings +,363,700,"1,091","1,366","2,397","1,996","3,670","2,901","2,618","2,740","2,537","2,025"
Other Liabilities +,"6,394","6,899","6,843","8,254","9,192","11,166","11,834","11,836","14,911","15,162","13,943","15,108"
Total Liabilities,"15,940","19,848","22,525","26,057","30,431","33,446","37,318","39,602","44,416","45,827","43,149","44,494"
Fixed Assets +,"2,594","4,033","4,309","6,460","7,622","7,061","8,872","9,018","14,784","14,932","13,903","13,982"
CWIP,266,568,629,373,240,276,50,118,165,120,133,21
Investments,"1,472","2,103","1,297","2,396","4,841","7,342","5,848","10,238","4,884","3,388","3,238","3,182"
Other Assets +,"11,607","13,145","16,289","16,828","17,728","18,766","22,548","20,228","24,583","27,388","25,875","27,310"
Total Assets,"15,940","19,848","22,525","26,057","30,431","33,446","37,318","39,602","44,416","45,827","43,149","44,494"
