,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,72.68%,72.93%,72.97%,72.97%,69.48%,69.61%,69.61%,69.61%,69.67%
FIIs +,10.61%,9.16%,9.50%,8.29%,6.56%,6.02%,4.55%,4.46%,3.94%
DIIs +,3.13%,5.16%,5.48%,6.86%,10.97%,11.74%,13.32%,15.39%,16.43%
Public +,13.58%,12.75%,12.05%,11.88%,12.99%,12.63%,12.53%,10.54%,9.96%
No. of Shareholders,"50,619","46,853","41,564","47,283","99,809","1,06,437","99,522","76,567","91,336"
