,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.99%,74.99%,75.00%,75.00%,75.00%,75.00%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%
FIIs +,11.03%,11.13%,11.11%,10.64%,10.83%,10.89%,10.68%,10.66%,7.51%,6.98%,5.94%,5.75%
DIIs +,3.57%,3.16%,2.90%,3.47%,3.75%,4.06%,4.67%,5.17%,7.57%,8.77%,9.60%,10.11%
Public +,10.41%,10.71%,10.98%,10.90%,10.42%,10.05%,9.65%,9.17%,9.93%,9.24%,9.47%,9.15%
No. of Shareholders,"3,84,669","4,04,957","4,29,053","4,28,448","3,93,970","3,99,714","3,92,656","3,71,411","4,24,374","3,73,110","3,92,176","3,78,309"
