,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,181,181,181,181,181,181,189
Reserves,"1,654","1,731","2,092","1,807","2,320","2,771","3,929"
Borrowings +,"2,128","2,327","2,310","2,217","2,334","2,335","1,189"
Other Liabilities +,"1,613","1,721","2,184","1,816","1,798","2,422","2,817"
Total Liabilities,"5,577","5,960","6,768","6,021","6,634","7,709","8,124"
Fixed Assets +,"2,247","2,382","2,188","2,044","2,147","3,125","3,206"
CWIP,581,485,302,320,411,159,178
Investments,-0,-0,-0,25,25,318,64
Other Assets +,"2,749","3,093","4,278","3,632","4,050","4,108","4,677"
Total Assets,"5,577","5,960","6,768","6,021","6,634","7,709","8,124"
