,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,50,34,30,53,36,21,65,120,38,58,37,32
Inventory Days,,,,,"5,457",495,,,,,,"4,110"
Days Payable,,,,,457,56,,,,,,440
Cash Conversion Cycle,50,34,30,53,"5,035",461,65,120,38,58,37,"3,702"
Working Capital Days,"1,020",848,635,"1,070",478,263,452,"2,617","1,312","1,574","1,565","1,525"
ROCE %,8%,5%,5%,7%,1%,10%,9%,1%,5%,6%,6%,7%
