,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,89.97%,90.78%,88.78%,86.77%,86.77%,86.77%,86.77%,81.85%,81.85%
FIIs +,3.30%,3.00%,3.07%,3.14%,2.33%,2.65%,1.75%,2.36%,2.49%
DIIs +,2.56%,3.56%,3.82%,6.01%,5.41%,4.00%,4.06%,3.36%,4.20%
Public +,4.17%,2.66%,4.33%,4.09%,5.49%,6.59%,7.41%,12.42%,11.46%
No. of Shareholders,"84,060","89,274","96,930","97,775","1,43,481","3,09,180","3,16,055","11,81,241","15,57,938"
