,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,347,542,"1,090",645,678,896,"1,304","1,772","2,106","2,902","2,094","2,487"
Cash from Investing Activity +,-657,-500,-667,-613,"-1,174","-1,039","-1,179","-1,499","-1,586","-2,964","-2,231","-1,484"
Cash from Financing Activity +,205,-18,-182,-284,495,246,-199,-251,-207,220,-72,"-1,071"
Net Cash Flow,-106,24,241,-252,-1,103,-73,22,312,158,-209,-67
