,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,152,152,152,152,171,205,205,205,205,205,205,218
Reserves,508,480,365,315,324,"1,218","1,350","1,211","1,136","1,337","1,646","2,828"
Borrowings +,"1,759","2,072","2,351","2,636","2,725","1,546","1,902","2,058","2,597","2,853","3,005","2,604"
Other Liabilities +,567,538,487,449,432,562,579,545,527,562,922,"1,413"
Total Liabilities,"2,987","3,242","3,355","3,552","3,652","3,531","4,035","4,019","4,465","4,957","5,778","7,063"
Fixed Assets +,"1,276","2,295","2,390","2,839","2,819","2,753","3,019","3,080","3,413","3,854","4,406","5,210"
CWIP,572,49,32,21,22,34,88,36,32,98,37,183
Investments,12,13,47,0,4,5,5,4,6,7,10,108
Other Assets +,"1,128",885,886,692,807,738,924,899,"1,013",999,"1,325","1,561"
Total Assets,"2,987","3,242","3,355","3,552","3,652","3,531","4,035","4,019","4,465","4,957","5,778","7,063"
