,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-0,383,409,493,596,268,896,"1,386",675,"1,213"
Cash from Investing Activity +,0,316,-181,-196,-246,-63,-79,-850,"-1,657","-1,615"
Cash from Financing Activity +,0,-685,-291,-280,-284,286,-921,-75,645,522
Net Cash Flow,0,14,-63,17,66,491,-104,461,-336,120
