,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,68.37%,68.37%,66.08%,63.80%,63.80%,62.57%
FIIs +,4.52%,2.30%,4.19%,4.85%,4.51%,4.63%
DIIs +,6.99%,5.73%,4.30%,5.87%,8.76%,10.74%
Public +,20.12%,23.60%,25.43%,25.47%,22.91%,22.05%
No. of Shareholders,"12,468","18,997","44,320","61,983","67,328","66,906"
