,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,36.16%,36.05%,35.96%,36.47%,35.93%,35.91%,38.49%,38.49%,37.87%,37.22%
FIIs +,1.66%,0.00%,0.00%,7.21%,0.00%,0.00%,9.91%,7.78%,13.36%,19.00%
DIIs +,13.96%,16.91%,17.78%,11.58%,20.90%,23.90%,14.27%,16.87%,12.39%,7.54%
Public +,47.32%,46.14%,45.39%,43.88%,42.32%,39.38%,36.50%,36.04%,35.58%,35.44%
Others +,0.91%,0.89%,0.88%,0.86%,0.00%,0.00%,0.82%,0.00%,0.00%,0.00%
No. of Shareholders,"20,758","23,633","25,847","24,659","27,302","23,573","24,149","23,652","42,288","46,076"
