,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,2,2,2,10,10,10,11
Reserves,159,238,202,221,330,534,"1,184"
Borrowings +,21,17,8,63,71,210,214
Other Liabilities +,644,536,364,976,"2,147","4,100","4,805"
Total Liabilities,826,793,576,"1,271","2,558","4,855","6,214"
Fixed Assets +,44,35,23,92,136,349,384
CWIP,0,4,9,0,0,14,0
Investments,0,0,0,0,0,2,173
Other Assets +,782,755,545,"1,179","2,422","4,490","5,658"
Total Assets,826,793,576,"1,271","2,558","4,855","6,214"
