,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,49.53%,49.53%,49.53%,49.53%,49.53%,49.69%,48.51%,48.51%,46.94%
FIIs +,2.31%,8.19%,7.63%,8.87%,10.88%,11.70%,11.65%,12.59%,12.97%
DIIs +,17.37%,15.31%,15.84%,18.09%,17.63%,17.68%,18.81%,18.63%,20.94%
Public +,30.78%,26.97%,26.99%,23.51%,21.95%,20.93%,21.03%,20.26%,19.13%
No. of Shareholders,"41,730","52,449","59,349","55,821","59,600","65,847","69,592","71,610","77,151"
