,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,68.19%,66.79%,58.83%,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%
FIIs +,6.65%,6.44%,7.49%,10.71%,11.58%,16.77%,16.42%,17.56%,17.55%
DIIs +,17.73%,17.85%,22.88%,30.21%,30.21%,26.71%,25.50%,22.63%,20.87%
Public +,7.43%,8.92%,10.80%,7.95%,7.07%,5.38%,6.95%,8.66%,10.43%
No. of Shareholders,"82,161","2,16,908","2,96,899","2,86,632","3,73,893","4,31,034","7,80,211","13,64,873","26,78,435"
