,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,95.39%,95.39%,95.39%,95.39%,95.39%,95.39%,95.39%,95.39%,95.39%,95.39%,95.39%,90.95%
FIIs +,0.01%,0.03%,0.05%,0.16%,0.05%,0.09%,0.01%,0.03%,0.03%,0.02%,0.02%,0.44%
DIIs +,1.32%,1.34%,1.37%,1.37%,1.35%,1.36%,1.32%,1.32%,1.32%,1.32%,1.33%,5.36%
Public +,3.28%,3.23%,3.18%,3.08%,3.20%,3.14%,3.27%,3.26%,3.26%,3.25%,3.25%,3.26%
No. of Shareholders,"4,29,468","4,30,406","5,43,695","5,36,942","5,37,686","5,83,242","6,10,166","7,39,097","7,78,049","7,73,466","7,91,271","7,99,014"
