,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,14,13,17,15,16,14
Inventory Days,22,26,27,21,20,22
Days Payable,8,20,16,14,14,14
Cash Conversion Cycle,27,20,28,21,22,22
Working Capital Days,15,16,37,38,34,56
ROCE %,,19%,13%,18%,29%,18%
