,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,23,25,25,25,24,24,24,24
Reserves,682,863,"1,041","1,067","1,058","1,376","1,578","1,503"
Borrowings +,13,0,316,210,279,293,444,463
Other Liabilities +,221,257,209,322,407,472,462,472
Total Liabilities,939,"1,146","1,591","1,624","1,768","2,165","2,508","2,463"
Fixed Assets +,316,253,507,459,515,520,663,677
CWIP,1,2,0,0,0,2,0,0
Investments,138,194,401,536,512,787,959,765
Other Assets +,483,696,683,629,741,856,886,"1,020"
Total Assets,939,"1,146","1,591","1,624","1,768","2,165","2,508","2,463"
