,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,80.72%,80.71%,74.98%,74.98%,73.48%,73.41%,73.34%,73.24%,73.00%
FIIs +,5.98%,6.52%,10.08%,13.34%,16.51%,16.35%,15.20%,13.35%,13.24%
DIIs +,3.31%,3.72%,6.54%,5.54%,4.29%,4.74%,6.14%,8.54%,8.80%
Public +,10.00%,9.05%,8.40%,6.14%,5.72%,5.50%,5.30%,4.85%,4.94%
No. of Shareholders,"4,36,337","3,53,311","3,35,023","3,36,860","3,80,364","3,79,981","3,82,944","3,41,039","3,29,897"
