,Nov 2006,Nov 2007,Nov 2008
Debtor Days,38,33,32
Inventory Days,160,149,190
Days Payable,208,144,164
Cash Conversion Cycle,-10,39,58
Working Capital Days,2,45,135
ROCE %,,37%,27%
