,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,72.28%,72.62%,72.62%,69.23%,67.65%,72.61%,72.61%,72.61%,74.72%,74.89%,73.97%,73.97%
FIIs +,15.83%,15.59%,15.39%,17.75%,19.34%,14.52%,14.65%,14.41%,11.73%,11.31%,11.72%,11.71%
DIIs +,5.68%,5.33%,5.45%,5.15%,5.46%,5.65%,5.44%,5.77%,6.02%,6.46%,6.61%,6.86%
Public +,6.22%,6.46%,6.53%,7.87%,7.54%,7.23%,7.30%,7.22%,7.53%,7.36%,7.68%,7.45%
No. of Shareholders,"2,34,308","2,63,609","2,53,432","7,46,605","6,61,255","5,66,232","5,61,309","5,37,342","6,43,975","5,84,928","6,67,210","6,55,946"
