,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,45,26,21,-42,70,-82
Cash from Investing Activity +,-10,-24,-45,-494,"-1,505",-355
Cash from Financing Activity +,-35,1,27,554,"1,429",465
Net Cash Flow,-0,2,4,19,-7,28
