,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,62.76%,62.76%,62.76%,61.89%,61.78%,61.80%,61.80%
FIIs +,4.99%,4.69%,4.16%,6.54%,7.35%,7.83%,7.17%
DIIs +,8.66%,8.83%,9.37%,13.53%,14.34%,14.33%,14.75%
Public +,23.58%,23.73%,23.70%,18.04%,16.54%,16.03%,16.27%
No. of Shareholders,"1,89,668","1,56,947","1,45,858","1,34,822","1,28,740","1,38,200","1,46,892"
