,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,463,463,463,484,484,484,484
Reserves,"1,174",497,627,"1,428","1,599","1,802","1,924"
Borrowings +,"1,070","1,564","1,137",409,156,222,92
Other Liabilities +,636,802,819,844,956,971,887
Total Liabilities,"3,343","3,326","3,046","3,164","3,194","3,479","3,386"
Fixed Assets +,317,337,322,282,"1,326","1,430","1,481"
CWIP,"1,022","1,232","1,179",683,731,917,973
Investments,0,0,1,1,10,29,29
Other Assets +,"2,005","1,757","1,544","2,199","1,127","1,102",902
Total Assets,"3,343","3,326","3,046","3,164","3,194","3,479","3,386"
