,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,54,55,83,83,83,83,83,83,83,83,83,84
Reserves,151,260,425,512,705,862,949,"1,162","1,418","1,583","1,766","2,089"
Borrowings +,28,27,0,0,0,0,0,150,533,420,247,157
Other Liabilities +,119,134,118,95,128,145,341,265,309,297,357,387
Total Liabilities,352,475,625,690,916,"1,091","1,374","1,661","2,343","2,383","2,454","2,717"
Fixed Assets +,140,150,166,152,208,209,413,447,"1,369","1,305","1,228","1,168"
CWIP,0,1,4,18,10,3,11,10,15,5,6,4
Investments,9,38,64,106,145,185,164,59,65,150,114,327
Other Assets +,203,286,391,414,554,694,786,"1,144",893,923,"1,107","1,218"
Total Assets,352,475,625,690,916,"1,091","1,374","1,661","2,343","2,383","2,454","2,717"
