,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,29,29,29,29,33,45,45
Reserves,216,160,77,12,49,"1,319","1,641"
Borrowings +,579,648,722,792,835,304,497
Other Liabilities +,423,469,552,453,598,510,609
Total Liabilities,"1,247","1,307","1,381","1,286","1,515","2,178","2,792"
Fixed Assets +,344,344,322,292,283,322,485
CWIP,34,56,54,5,15,58,168
Investments,1,0,2,2,3,4,0
Other Assets +,868,906,"1,003",986,"1,214","1,795","2,139"
Total Assets,"1,247","1,307","1,381","1,286","1,515","2,178","2,792"
