,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,9,9,9,9
Reserves,"2,105","2,400","2,781","3,205"
Borrowings +,0,0,0,66
Other Liabilities +,523,613,591,505
Total Liabilities,"2,637","3,022","3,382","3,785"
Fixed Assets +,536,587,673,736
CWIP,20,77,84,68
Investments,398,100,25,30
Other Assets +,"1,683","2,258","2,600","2,950"
Total Assets,"2,637","3,022","3,382","3,785"
