,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,52,59,74,77,79,77,68,72,82,77,72,76
Inventory Days,142,148,114,194,161,186,241,217,218,237,205,188
Days Payable,101,101,76,131,96,123,142,111,115,105,89,57
Cash Conversion Cycle,94,106,111,140,144,139,166,179,185,209,188,207
Working Capital Days,31,45,65,81,94,83,73,107,116,112,100,344
ROCE %,33%,30%,26%,24%,26%,22%,25%,22%,17%,18%,24%,20%
