,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,0.01,0.86,3,3,229
Reserves,"1,736","-3,296","-6,509","-7,785","9,991"
Borrowings +,93,"16,071","16,162","16,437","1,703"
Other Liabilities +,"1,086","1,637","1,624","1,874","3,283"
Total Liabilities,"2,915","14,412","11,281","10,529","15,205"
Fixed Assets +,747,801,"1,505","2,041","3,631"
CWIP,0,0,0,0,0
Investments,925,"10,348","6,541","5,171","2,677"
Other Assets +,"1,243","3,263","3,235","3,317","8,897"
Total Assets,"2,915","14,412","11,281","10,529","15,205"
