,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,39,39,42,42,42,42,42,42,42,43,49,49
Reserves,757,750,837,988,"1,373","1,590","1,692","1,751","1,826","2,237","2,996","3,672"
Borrowings +,"1,362","1,124",887,774,660,476,505,729,587,842,605,313
Other Liabilities +,339,329,296,308,341,680,323,269,999,555,798,621
Total Liabilities,"2,497","2,242","2,062","2,112","2,416","2,788","2,562","2,791","3,454","3,678","4,449","4,656"
Fixed Assets +,"1,221","1,228","1,180","1,174","1,178","1,170","1,475","1,468","1,546","1,515","1,534","1,605"
CWIP,59,14,31,13,22,133,158,160,77,94,67,185
Investments,168,23,53,87,273,179,47,66,113,132,478,582
Other Assets +,"1,048",977,798,838,943,"1,305",882,"1,098","1,718","1,938","2,371","2,283"
Total Assets,"2,497","2,242","2,062","2,112","2,416","2,788","2,562","2,791","3,454","3,678","4,449","4,656"
