,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,"1,919","1,919","4,285","4,679"
Reserves,"2,108","4,288","2,158","3,657"
Borrowings +,"4,788","2,896","2,532","1,402"
Other Liabilities +,"1,271","1,427","1,554","1,313"
Total Liabilities,"10,085","10,529","10,529","11,051"
Fixed Assets +,"8,621","8,607","8,667","8,997"
CWIP,5,0,6,0
Investments,0,0,0,0
Other Assets +,"1,459","1,922","1,856","2,053"
Total Assets,"10,085","10,529","10,529","11,051"
