,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,83,67,698,"1,560","2,305","3,158"
Cash from Investing Activity +,-22,-250,-673,"-2,088","-3,346","-6,808"
Cash from Financing Activity +,-50,161,101,642,909,"4,036"
Net Cash Flow,12,-21,126,114,-132,386
