,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,332,351,351,351,351,351,351,351,604,604,604,604
Reserves,"3,228","4,009","4,485","4,920","5,341","5,964","6,331","6,549","11,962","12,775","13,141","19,223"
Borrowings +,"11,084","12,576","15,626","13,963","13,832","16,599","9,205","19,219","16,697","16,748","18,653","20,599"
Other Liabilities +,"1,059","22,453","21,699","27,406","20,865","17,549","23,997","15,052","13,218","12,575","12,472","13,470"
Total Liabilities,"15,704","39,391","42,162","46,641","40,389","40,464","39,885","41,171","42,481","42,703","44,870","53,896"
Fixed Assets +,"8,554","31,764","35,149","24,388","31,071","32,943","27,671","27,102","27,271","26,480","25,514","24,616"
CWIP,"4,487","4,835","4,020","6,806","5,648","3,797",403,673,63,8,8,1
Investments,15,9,36,146,945,645,"4,146","4,799","4,904","5,141","9,642","17,097"
Other Assets +,"2,648","2,783","2,957","15,301","2,724","3,079","7,666","8,597","10,243","11,074","9,706","12,182"
Total Assets,"15,704","39,391","42,162","46,641","40,389","40,464","39,885","41,171","42,481","42,703","44,870","53,896"
