,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,72,72,72,72,341,368
Reserves,"1,721","1,868","2,190","2,654","3,255","4,893"
Borrowings +,"2,118","2,059","2,073","2,062","2,523","2,343"
Other Liabilities +,"9,186","8,491","8,638","9,513","10,114","9,515"
Total Liabilities,"13,097","12,490","12,974","14,301","16,234","17,119"
Fixed Assets +,"1,938","2,003","2,318","2,498","2,784","2,738"
CWIP,18,146,18,184,43,33
Investments,0,0,1,0,1,1
Other Assets +,"11,141","10,341","10,638","11,619","13,406","14,348"
Total Assets,"13,097","12,490","12,974","14,301","16,234","17,119"
