,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,59.45%,59.45%,59.45%,59.45%,59.43%,59.43%,59.43%,59.43%,59.41%,59.41%,59.41%,59.41%
FIIs +,23.10%,23.30%,22.60%,23.11%,23.79%,24.19%,23.96%,24.83%,25.33%,24.76%,23.46%,22.31%
DIIs +,8.95%,9.70%,10.40%,10.27%,9.68%,9.38%,10.00%,9.77%,9.42%,10.10%,11.43%,12.63%
Government +,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.11%,0.11%,0.13%,0.13%,0.13%,0.13%
Public +,8.35%,7.43%,7.43%,7.05%,6.95%,6.90%,6.49%,5.85%,5.66%,5.58%,5.57%,5.52%
Others +,0.04%,0.01%,0.01%,0.01%,0.03%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%
No. of Shareholders,"2,44,014","2,36,360","2,49,680","2,39,686","2,25,255","2,24,208","2,31,540","2,24,428","2,14,713","2,13,745","2,37,325","2,46,910"
