,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,22,22,22,44,44,44,44,48,48,48,48,51
Reserves,124,174,207,227,294,337,391,918,"1,040","1,194","1,422","2,715"
Borrowings +,67,79,82,101,133,161,207,137,127,149,174,180
Other Liabilities +,73,89,76,85,94,112,126,121,163,187,214,247
Total Liabilities,286,364,387,457,565,654,767,"1,224","1,377","1,577","1,859","3,192"
Fixed Assets +,123,165,182,207,265,306,363,426,488,635,867,"1,096"
CWIP,20,10,14,20,18,19,25,21,43,78,76,90
Investments,3,4,4,3,17,8,25,354,346,132,167,"1,077"
Other Assets +,140,185,187,227,264,321,354,422,499,732,748,930
Total Assets,286,364,387,457,565,654,767,"1,224","1,377","1,577","1,859","3,192"
