,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,0,0,0,0,0,0,0,0,0,0,0,0
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0,0,0
Working Capital Days,-568,-549,-533,-447,-506,-421,-486,-471,-469,-436,-435,-466
ROCE %,-1%,1%,-2%,3%,2%,-1%,7%,9%,1%,-2%,1%,4%
