,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,30.42%,30.29%,28.33%,28.31%,16.99%,14.72%,10.14%,6.52%,1.74%
FIIs +,26.43%,29.49%,29.85%,30.61%,23.08%,23.26%,47.70%,47.70%,44.75%
DIIs +,30.31%,28.44%,31.89%,28.98%,51.39%,54.02%,34.06%,39.92%,47.29%
Public +,12.84%,11.78%,9.94%,12.10%,8.54%,8.00%,8.09%,5.84%,6.21%
No. of Shareholders,"58,774","65,039","59,088","59,698","63,253","69,014","81,463","65,260","68,062"
