,Mar 2015,Mar 2016,Mar 2018,Mar 2019
Equity Capital,10,11,19,24
Reserves,61,81,573,"1,341"
Borrowing,88,129,546,955
Other Liabilities +,6,5,14,30
Total Liabilities,165,225,"1,152","2,350"
Fixed Assets +,1,2,6,10
CWIP,0,0,0,0
Investments,0,4,0,0
Other Assets +,164,219,"1,145","2,340"
Total Assets,165,225,"1,152","2,350"
