,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,82.28%,82.26%,60.95%,39.99%,39.99%,39.99%,39.98%,39.98%
FIIs +,9.61%,5.56%,13.05%,34.91%,34.31%,31.93%,31.20%,22.73%
DIIs +,1.80%,10.01%,8.84%,1.91%,4.56%,13.24%,12.42%,16.36%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.07%,0.07%
Public +,6.31%,2.16%,17.16%,23.19%,21.14%,14.77%,16.32%,20.86%
No. of Shareholders,"4,42,555","1,98,498","3,09,077","4,71,877","4,58,163","5,28,876","7,24,153","8,59,472"
