,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,85.78%,85.78%,85.78%,85.78%,85.78%,85.78%,85.78%,82.40%
FIIs +,0.30%,0.26%,0.26%,0.55%,0.45%,0.67%,0.87%,1.93%
DIIs +,11.79%,12.07%,11.90%,11.57%,10.90%,11.02%,11.06%,13.68%
Public +,2.13%,1.89%,2.06%,2.09%,2.87%,2.53%,2.30%,2.00%
No. of Shareholders,"3,03,374","2,71,948","2,57,343","2,52,248","2,73,529","2,48,100","2,42,314","2,26,162"
