,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024
Cash from Operating Activity +,254,265,270,279,291,379,446,500,403,456,780,765
Cash from Investing Activity +,-157,-185,2,-19,-179,-64,-77,-300,-97,-59,-326,-387
Cash from Financing Activity +,-82,-112,-262,-227,-187,-203,-229,-265,-291,-368,-408,-442
Net Cash Flow,15,-31,10,33,-75,111,140,-64,15,29,47,-64
