,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,155,,207,246,265
Cash from Investing Activity +,-114,,-112,-158,-155
Cash from Financing Activity +,-43,,-100,-85,-99
Net Cash Flow,-1,,-4,3,12
