,Mar 2002,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,445,"16,647","18,902","18,902","18,902","19,257"
Reserves,654,452,"3,695","5,974","8,659","12,977"
Deposits,"31,808","240,353","262,214","260,974","286,121","311,939"
Borrowing,180,"3,672","3,071","20,804","30,387","42,228"
Other Liabilities +,"2,389","13,106","11,148","6,785","7,799","8,308"
Total Liabilities,"35,477","274,229","299,030","313,438","351,869","394,708"
Fixed Assets +,387,"2,918","3,366","3,711","3,726","4,655"
CWIP,0,1,0,0,14,0
Investments,"15,015","95,485","97,641","93,643","99,194","110,588"
Other Assets +,"20,075","175,825","198,023","216,085","248,935","279,465"
Total Assets,"35,477","274,229","299,030","313,438","351,869","394,708"
