,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,0.01,0.01,98,106,110
Reserves,-107,88,239,"1,043","2,057"
Borrowings +,334,463,335,371,5
Other Liabilities +,917,780,875,450,469
Total Liabilities,"1,144","1,331","1,547","1,970","2,642"
Fixed Assets +,259,259,272,362,616
CWIP,4,15,26,180,19
Investments,120,150,177,170,600
Other Assets +,761,908,"1,073","1,258","1,408"
Total Assets,"1,144","1,331","1,547","1,970","2,642"
